drmin,drmax,selection,output_file,reduction_factor
0.01,0.4000,0.2358,wzp6_ee_Hmunumuqq_ecm125.root,0.070118
0.01,0.4000,0.2358,wzp6_ee_Hqqmunumu_ecm125.root,0.103154
0.01,0.4000,0.2358,wzp6_ee_Htaunutauqq_ecm125.root,0.704241
0.01,0.4000,0.2358,wzp6_ee_Hqqtaunutau_ecm125.root,0.748484
0.01,0.4000,0.2563,wzp6_ee_Henueqq_ecm125.root,0.08319
0.01,0.4000,0.2563,wzp6_ee_Hqqenue_ecm125.root,0.117025
0.01,0.4000,0.2563,wzp6_ee_Hmunumuqq_ecm125.root,0.066996
0.01,0.4000,0.2563,wzp6_ee_Hqqmunumu_ecm125.root,0.099924
0.01,0.4000,0.2563,wzp6_ee_Htaunutauqq_ecm125.root,0.70299
0.01,0.4000,0.2563,wzp6_ee_Hqqtaunutau_ecm125.root,0.747277
0.01,0.4000,0.2768,wzp6_ee_Henueqq_ecm125.root,0.07963777777777778
0.01,0.4000,0.2768,wzp6_ee_Hqqenue_ecm125.root,0.11342
0.01,0.4000,0.2768,wzp6_ee_Hmunumuqq_ecm125.root,0.063931
0.01,0.4000,0.2768,wzp6_ee_Hqqmunumu_ecm125.root,0.096985
0.01,0.4000,0.2768,wzp6_ee_Htaunutauqq_ecm125.root,0.701891
0.01,0.4000,0.2768,wzp6_ee_Hqqtaunutau_ecm125.root,0.746097
0.01,0.4000,0.2974,wzp6_ee_Henueqq_ecm125.root,0.07633333333333334
0.01,0.4000,0.2974,wzp6_ee_Hqqenue_ecm125.root,0.110152
0.01,0.4000,0.2974,wzp6_ee_Hmunumuqq_ecm125.root,0.061224
0.01,0.4000,0.2974,wzp6_ee_Hqqmunumu_ecm125.root,0.094339
0.01,0.4000,0.2974,wzp6_ee_Htaunutauqq_ecm125.root,0.700846
0.01,0.4000,0.2974,wzp6_ee_Hqqtaunutau_ecm125.root,0.745036
0.01,0.4000,0.3179,wzp6_ee_Henueqq_ecm125.root,0.07332777777777778
0.01,0.4000,0.3179,wzp6_ee_Hqqenue_ecm125.root,0.107068
0.01,0.4000,0.3179,wzp6_ee_Hmunumuqq_ecm125.root,0.058701
0.01,0.4000,0.3179,wzp6_ee_Hqqmunumu_ecm125.root,0.091926
0.01,0.4000,0.3179,wzp6_ee_Htaunutauqq_ecm125.root,0.699912
0.01,0.4000,0.3179,wzp6_ee_Hqqtaunutau_ecm125.root,0.744093
0.01,0.4000,0.3384,wzp6_ee_Henueqq_ecm125.root,0.07054666666666666
0.01,0.4000,0.3384,wzp6_ee_Hqqenue_ecm125.root,0.104432
0.01,0.4000,0.3384,wzp6_ee_Hmunumuqq_ecm125.root,0.056416
0.01,0.4000,0.3384,wzp6_ee_Hqqmunumu_ecm125.root,0.089713
0.01,0.4000,0.3384,wzp6_ee_Htaunutauqq_ecm125.root,0.698978
0.01,0.4000,0.3384,wzp6_ee_Hqqtaunutau_ecm125.root,0.743241
0.01,0.4000,0.3589,wzp6_ee_Henueqq_ecm125.root,0.06796111111111111
0.01,0.4000,0.3589,wzp6_ee_Hqqenue_ecm125.root,0.101867
